LSOA,Total of possible sessions,Total sessions attended,Total sessions missed,Attendance
E01011641,50279,48727,1552,0.97
E01011642,43412,41364,2048,0.95
E01011643,34364,33541,823,0.98
E01011644,36286,34989,1297,0.96
E01011645,50949,49339,1610,0.97
E01011646,58091,55616,2475,0.96
E01011647,76238,72284,3954,0.95
E01011648,60489,57749,2740,0.96
E01011649,39819,38681,1138,0.97
E01011650,36559,35359,1200,0.97
E01011651,38466,37058,1408,0.96
E01011652,36502,34949,1553,0.96
E01011653,24512,23868,644,0.97
E01011654,48601,47266,1335,0.97
E01011655,24390,23584,806,0.97
E01011656,65723,62093,3630,0.95
E01011657,42772,40324,2448,0.94
E01011658,60036,56365,3671,0.94
E01011659,37014,35055,1959,0.95
E01011660,45408,43091,2317,0.95
E01011661,35528,33612,1916,0.95
E01011662,57677,55060,2617,0.96
E01011663,77938,74283,3655,0.95
E01011664,39591,37377,2214,0.94
E01011665,38416,36844,1572,0.96
E01011666,37540,36271,1269,0.97
E01011667,90897,86492,4405,0.95
E01011668,14234,13585,649,0.95
E01011669,18606,17557,1049,0.94
E01011670,66371,63628,2743,0.96
E01011671,70449,67938,2511,0.96
E01011672,30039,28998,1041,0.97
E01011673,71473,67789,3684,0.95
E01011674,3368,3244,124,0.96
E01011675,97504,94130,3374,0.97
E01011676,19340,18525,815,0.96
E01011677,56833,53283,3550,0.94
E01011678,12401,11827,574,0.95
E01011679,124289,120144,4145,0.97
E01011680,20226,19335,891,0.96
E01011681,35102,32943,2159,0.94
E01011682,12239,11789,450,0.96
E01011683,16238,15865,373,0.98
E01011684,36003,35074,929,0.97
E01011685,33396,32418,978,0.97
E01011686,30923,29080,1843,0.94
E01011687,40006,38638,1368,0.97
E01011688,49432,47318,2114,0.96
E01011689,41850,40718,1132,0.97
E01011690,20888,20468,420,0.98
E01011691,38554,36861,1693,0.96
E01011692,19655,19084,571,0.97
E01011693,13240,12595,645,0.95
E01011694,32368,31430,938,0.97
E01011695,50865,48362,2503,0.95
E01011696,26591,26008,583,0.98
E01011697,44307,43089,1218,0.97
E01011698,35248,34260,988,0.97
E01011699,25452,24800,652,0.97
E01011700,24353,23683,670,0.97
